sentiment_class,trades,total_pnl,avg_pnl,median_pnl,win_rate,avg_notional,total_fees
Extreme Fear,21400,739110.24849,34.53786207897196,0.0,37.0607476635514,5349.7318429906545,23888.6339393869
Fear,61837,3357155.441642,54.2903996254993,0.0,42.07675016575836,7816.109930785776,92456.9486741548
Neutral,37686,1292920.67555,34.30771839807886,0.0,39.69909250119408,4782.732661465797,39374.2683038708
Greed,50303,2150129.272951,42.74355948851957,0.0,38.48279426674354,5736.884375086974,63098.6919791683
Extreme Greed,39992,2715171.310673,67.89286133909282,0.0,46.49429885977195,3112.2515645629123,27030.66546515
